0   -94
1   -95
2   -94
3   -93
4   -95
5   -92
6   -96
7   -93
8   -93
9   -92
10   -96
11   -97
12   -91
13   -94
14   -93
15   -95
17   -105
18   -95
19   -89
20   -97
22   -96
23   -93
24   -98
25   -95
27   -91
28   -93
29   -94
30   -96
32   -95
33   -96
34   -98
35   -98
37   -97
38   -97
39   -96
40   -95
42   -97
43   -99
44   -96
45   -95
47   -97
48   -95
49   -97
50   -94
52   -92
53   -92
54   -94
55   -94
57   -93
58   -93
59   -92
60   -88
62   -92
63   -94
64   -93
65   -93
67   -95
68   -95
69   -92
70   -93
72   -96
73   -94
74   -93
75   -93
77   -89
78   -91
79   -94
80   -83
82   -100
83   -89
84   -95
85   -96
87   -96
88   -93
89   -93
90   -96
92   -96
93   -97
94   -92
95   -100
97   -96
98   -93
99   -98
100   -88
102   -95
103   -96
104   -92
105   -98
107   -96
108   -94
109   -95
110   -97
112   -99
113   -97
114   -96
115   -93
117   -96
118   -96
119   -94
120   -97
122   -97
123   -96
124   -94
125   -95
127   -89
128   -95
129   -95
130   -94
132   -89
133   -93
134   -96
135   -91
137   -95
138   -99
139   -97
140   -92
142   -100
143   -92
144   -101
145   -97
147   -92
148   -98
149   -97
150   -97
152   -100
153   -95
154   -91
155   -98
157   -98
158   -99
159   -93
160   -94
162   -100
163   -100
164   -95
167   -99
168   -95
169   -88
171   -95
172   -98
173   -95
174   -97
175   -98
176   -98
177   -95
178   -93
179   -96
180   -97
182   -96
183   -94
184   -94
185   -94
187   -97
188   -94
189   -98
190   -96
192   -94
193   -98
194   -96
195   -94
197   -96
198   -95
199   -96
200   -96
202   -96
203   -96
204   -97
205   -97
207   -97
208   -95
209   -96
210   -97
212   -95
213   -98
214   -97
215   -95
217   -96
218   -98
219   -97
220   -98
222   -99
223   -94
224   -100
225   -98
227   -95
228   -92
229   -100
230   -99
232   -98
233   -99
234   -93
235   -89
237   -89
238   -94
239   -98
240   -93
242   -94
243   -96
244   -98
245   -95
247   -95
248   -96
249   -95
250   -97
252   -96
253   -97
254   -97
255   -97
257   -95
258   -102
259   -96
260   -95
262   -99
263   -99
264   -96
265   -99
267   -98
268   -96
269   -94
270   -91
272   -95
273   -97
274   -97
275   -98
277   -93
278   -99
279   -99
280   -93
282   -93
283   -98
284   -97
285   -96
287   -93
288   -98
289   -94
290   -92
292   -95
293   -95
294   -94
295   -98
297   -97
298   -95
299   -99
300   -97
302   -95
303   -97
304   -97
305   -97
307   -95
308   -95
309   -99
310   -97
312   -96
313   -95
314   -97
315   -98
317   -97
318   -95
319   -93
320   -99
322   -98
323   -94
324   -96
325   -94
327   -104
328   -96
329   -94
330   -96
332   -94
333   -94
334   -97
335   -96
337   -96
338   -94
339   -98
340   -96
342   -95
343   -98
344   -97
345   -96
347   -98
348   -94
349   -98
350   -100
352   -99
353   -98
354   -89
355   -93
357   -94
358   -97
359   -97
360   -98
362   -97
363   -98
364   -93
365   -97
367   -98
368   -95
369   -92
370   -95
372   -94
373   -94
374   -96
375   -92
377   -92
378   -98
379   -98
380   -93
382   -92
383   -94
384   -95
385   -89
387   -94
388   -99
389   -98
390   -97
392   -95
393   -93
394   -94
395   -96
397   -95
398   -94
399   -93
400   -94
402   -95
403   -93
404   -94
405   -94
407   -92
408   -93
409   -91
410   -93
412   -92
413   -94
414   -94
415   -96
417   -95
418   -89
419   -95
420   -93
422   -91
423   -89
424   -93
425   -95
427   -93
428   -102
429   -100
430   -100
432   -100
433   -93
434   -93
435   -95
437   -97
438   -87
439   -95
440   -95
442   -97
443   -95
444   -94
445   -89
447   -95
448   -104
449   -101
450   -101
452   -99
453   -93
454   -96
455   -95
457   -96
458   -95
459   -97
460   -98
462   -95
463   -98
464   -94
465   -98
467   -98
468   -99
469   -99
470   -94
472   -94
473   -101
474   -92
475   -94
477   -95
478   -93
479   -100
480   -95
482   -95
483   -98
484   -98
485   -99
487   -101
488   -95
489   -94
490   -95
492   -96
493   -95
494   -94
495   -93
497   -92
