RSSI,distance,snow_depth,temperature,wind,success_rate
-89,100,0,3,5.8,0.994
-96,100,0,3,5.8,0.994
-95,100,0,3,5.8,0.994
-100,100,0,3,5.8,0.994
-97,100,0,3,5.8,0.994
-98,100,0,3,5.8,0.994
-96,100,0,3,5.8,0.994
-94,100,0,3,5.8,0.994
-95,100,0,3,5.8,0.994
-95,100,0,3,5.8,0.994
-99,100,0,3,5.8,0.994
-95,100,0,3,5.8,0.994
-100,100,0,3,5.8,0.994
-97,100,0,3,5.8,0.994
-99,100,0,3,5.8,0.994
-96,100,0,3,5.8,0.994
-94,100,0,3,5.8,0.994
-97,100,0,3,5.8,0.994
-95,100,0,3,5.8,0.994
-96,100,0,3,5.8,0.994
-98,100,0,3,5.8,0.994
-93,100,0,3,5.8,0.994
-96,100,0,3,5.8,0.994
-98,100,0,3,5.8,0.994
-98,100,0,3,5.8,0.994
-94,100,0,3,5.8,0.994
-97,100,0,3,5.8,0.994
-98,100,0,3,5.8,0.994
-97,100,0,3,5.8,0.994
-95,100,0,3,5.8,0.994
-97,100,0,3,5.8,0.994
-98,100,0,3,5.8,0.994
-98,100,0,3,5.8,0.994
-101,100,0,3,5.8,0.994
-103,100,0,3,5.8,0.994
-100,100,0,3,5.8,0.994
-101,100,0,3,5.8,0.994
-103,100,0,3,5.8,0.994
-99,100,0,3,5.8,0.994
-100,100,0,3,5.8,0.994
-98,100,0,3,5.8,0.994
-99,100,0,3,5.8,0.994
-102,100,0,3,5.8,0.994
-98,100,0,3,5.8,0.994
-102,100,0,3,5.8,0.994
-98,100,0,3,5.8,0.994
-98,100,0,3,5.8,0.994
-105,100,0,3,5.8,0.994
-102,100,0,3,5.8,0.994
-102,100,0,3,5.8,0.994
-98,100,0,3,5.8,0.994
-96,100,0,3,5.8,0.994
-94,100,0,3,5.8,0.994
-99,100,0,3,5.8,0.994
-100,100,0,3,5.8,0.994
-98,100,0,3,5.8,0.994
-96,100,0,3,5.8,0.994
-97,100,0,3,5.8,0.994
-98,100,0,3,5.8,0.994
-99,100,0,3,5.8,0.994
-100,100,0,3,5.8,0.994
-98,100,0,3,5.8,0.994
-101,100,0,3,5.8,0.994
-100,100,0,3,5.8,0.994
-99,100,0,3,5.8,0.994
-102,100,0,3,5.8,0.994
-94,100,0,3,5.8,0.994
-100,100,0,3,5.8,0.994
-102,100,0,3,5.8,0.994
-99,100,0,3,5.8,0.994
-99,100,0,3,5.8,0.994
-99,100,0,3,5.8,0.994
-98,100,0,3,5.8,0.994
-100,100,0,3,5.8,0.994
-98,100,0,3,5.8,0.994
-98,100,0,3,5.8,0.994
-100,100,0,3,5.8,0.994
-98,100,0,3,5.8,0.994
-97,100,0,3,5.8,0.994
-93,100,0,3,5.8,0.994
-98,100,0,3,5.8,0.994
-99,100,0,3,5.8,0.994
-98,100,0,3,5.8,0.994
-99,100,0,3,5.8,0.994
-99,100,0,3,5.8,0.994
-99,100,0,3,5.8,0.994
-98,100,0,3,5.8,0.994
-100,100,0,3,5.8,0.994
-100,100,0,3,5.8,0.994
-95,100,0,3,5.8,0.994
-98,100,0,3,5.8,0.994
-101,100,0,3,5.8,0.994
-100,100,0,3,5.8,0.994
-95,100,0,3,5.8,0.994
-91,100,0,3,5.8,0.994
-95,100,0,3,5.8,0.994
-102,100,0,3,5.8,0.994
-95,100,0,3,5.8,0.994
-99,100,0,3,5.8,0.994
-101,100,0,3,5.8,0.994
-99,100,0,3,5.8,0.994
-94,100,0,3,5.8,0.994
-101,100,0,3,5.8,0.994
-97,100,0,3,5.8,0.994
-100,100,0,3,5.8,0.994
-104,100,0,3,5.8,0.994
-100,100,0,3,5.8,0.994
-108,100,0,3,5.8,0.994
-99,100,0,3,5.8,0.994
-105,100,0,3,5.8,0.994
-106,100,0,3,5.8,0.994
-98,100,0,3,5.8,0.994
-98,100,0,3,5.8,0.994
-98,100,0,3,5.8,0.994
-97,100,0,3,5.8,0.994
-98,100,0,3,5.8,0.994
-99,100,0,3,5.8,0.994
-98,100,0,3,5.8,0.994
-101,100,0,3,5.8,0.994
-101,100,0,3,5.8,0.994
-101,100,0,3,5.8,0.994
-101,100,0,3,5.8,0.994
-91,100,0,3,5.8,0.994
-101,100,0,3,5.8,0.994
-101,100,0,3,5.8,0.994
-99,100,0,3,5.8,0.994
-98,100,0,3,5.8,0.994
-95,100,0,3,5.8,0.994
-93,100,0,3,5.8,0.994
-100,100,0,3,5.8,0.994
-100,100,0,3,5.8,0.994
-101,100,0,3,5.8,0.994
-98,100,0,3,5.8,0.994
-97,100,0,3,5.8,0.994
-94,100,0,3,5.8,0.994
-96,100,0,3,5.8,0.994
-98,100,0,3,5.8,0.994
-101,100,0,3,5.8,0.994
-95,100,0,3,5.8,0.994
-97,100,0,3,5.8,0.994
-91,100,0,3,5.8,0.994
-93,100,0,3,5.8,0.994
-98,100,0,3,5.8,0.994
-97,100,0,3,5.8,0.994
-93,100,0,3,5.8,0.994
-92,100,0,3,5.8,0.994
-94,100,0,3,5.8,0.994
-100,100,0,3,5.8,0.994
-99,100,0,3,5.8,0.994
-102,100,0,3,5.8,0.994
-99,100,0,3,5.8,0.994
-100,100,0,3,5.8,0.994
-100,100,0,3,5.8,0.994
-98,100,0,3,5.8,0.994
-99,100,0,3,5.8,0.994
-98,100,0,3,5.8,0.994
-98,100,0,3,5.8,0.994
-96,100,0,3,5.8,0.994
-99,100,0,3,5.8,0.994
-99,100,0,3,5.8,0.994
-98,100,0,3,5.8,0.994
-98,100,0,3,5.8,0.994
-98,100,0,3,5.8,0.994
-98,100,0,3,5.8,0.994
-98,100,0,3,5.8,0.994
-98,100,0,3,5.8,0.994
